date,age,confirmed,deceased
"2020-04-30",30,1158,2
"2020-04-30",40,1427,3
"2020-04-30",50,1956,15
"2020-04-30",60,1348,35
"2020-04-30",70,709,74
"2020-04-30",80,485,118
"2020-05-01",0,140,0
"2020-05-01",10,590,0
"2020-05-01",20,2957,0
"2020-05-01",30,1159,2
"2020-05-01",40,1429,3
"2020-05-01",50,1956,15
"2020-05-01",60,1348,35
"2020-05-01",70,709,75
"2020-05-01",80,486,118
"2020-05-02",0,140,0
"2020-05-02",10,590,0
"2020-05-02",20,2960,0
"2020-05-02",30,1160,2
"2020-05-02",40,1430,3
"2020-05-02",50,1956,15
"2020-05-02",60,1349,35
"2020-05-02",70,709,75
"2020-05-02",80,486,120
"2020-05-03",0,140,0
"2020-05-03",10,591,0
"2020-05-03",20,2962,0
"2020-05-03",30,1163,2
"2020-05-03",40,1432,3
"2020-05-03",50,1956,15
"2020-05-03",60,1351,35
"2020-05-03",70,710,75
"2020-05-03",80,488,120
"2020-05-04",0,140,0
"2020-05-04",10,591,0
"2020-05-04",20,2964,0
"2020-05-04",30,1164,2
"2020-05-04",40,1435,3
"2020-05-04",50,1956,15
"2020-05-04",60,1353,36
"2020-05-04",70,710,76
"2020-05-04",80,488,120
"2020-05-05",0,140,0
"2020-05-05",10,591,0
"2020-05-05",20,2964,0
"2020-05-05",30,1165,2
"2020-05-05",40,1436,3
"2020-05-05",50,1957,15
"2020-05-05",60,1353,36
"2020-05-05",70,710,76
"2020-05-05",80,488,122
"2020-05-06",0,140,0
"2020-05-06",10,591,0
"2020-05-06",20,2964,0
"2020-05-06",30,1166,2
"2020-05-06",40,1436,3
"2020-05-06",50,1957,15
"2020-05-06",60,1354,36
"2020-05-06",70,710,77
"2020-05-06",80,488,122
"2020-05-07",0,140,0
"2020-05-07",10,592,0
"2020-05-07",20,2966,0
"2020-05-07",30,1167,2
"2020-05-07",40,1436,3
"2020-05-07",50,1957,15
"2020-05-07",60,1354,37
"2020-05-07",70,710,77
"2020-05-07",80,488,122
"2020-05-08",0,141,0
"2020-05-08",10,592,0
"2020-05-08",20,2967,0
"2020-05-08",30,1174,2
"2020-05-08",40,1438,3
"2020-05-08",50,1957,15
"2020-05-08",60,1355,37
"2020-05-08",70,710,77
"2020-05-08",80,488,122
"2020-05-09",0,141,0
"2020-05-09",10,594,0
"2020-05-09",20,2979,0
"2020-05-09",30,1177,2
"2020-05-09",40,1438,3
"2020-05-09",50,1958,15
"2020-05-09",60,1355,37
"2020-05-09",70,710,77
"2020-05-09",80,488,122
"2020-05-10",0,141,0
"2020-05-10",10,597,0
"2020-05-10",20,2998,0
"2020-05-10",30,1180,2
"2020-05-10",40,1442,3
"2020-05-10",50,1960,15
"2020-05-10",60,1357,37
"2020-05-10",70,711,77
"2020-05-10",80,488,122
"2020-05-11",0,141,0
"2020-05-11",10,598,0
"2020-05-11",20,3019,0
"2020-05-11",30,1188,2
"2020-05-11",40,1446,3
"2020-05-11",50,1960,15
"2020-05-11",60,1358,37
"2020-05-11",70,711,77
"2020-05-11",80,488,122
"2020-05-12",0,142,0
"2020-05-12",10,602,0
"2020-05-12",20,3029,0
"2020-05-12",30,1194,2
"2020-05-12",40,1448,3
"2020-05-12",50,1963,15
"2020-05-12",60,1358,37
"2020-05-12",70,711,77
"2020-05-12",80,489,124
"2020-05-13",0,143,0
"2020-05-13",10,603,0
"2020-05-13",20,3042,0
"2020-05-13",30,1199,2
"2020-05-13",40,1450,3
"2020-05-13",50,1964,15
"2020-05-13",60,1359,37
"2020-05-13",70,712,77
"2020-05-13",80,490,125
"2020-05-14",0,143,0
"2020-05-14",10,614,0
"2020-05-14",20,3056,0
"2020-05-14",30,1202,2
"2020-05-14",40,1451,3
"2020-05-14",50,1964,15
"2020-05-14",60,1359,38
"2020-05-14",70,712,77
"2020-05-14",80,490,125
"2020-05-15",0,145,0
"2020-05-15",10,617,0
"2020-05-15",20,3066,0
"2020-05-15",30,1207,2
"2020-05-15",40,1453,3
"2020-05-15",50,1965,15
"2020-05-15",60,1361,38
"2020-05-15",70,714,77
"2020-05-15",80,490,125
"2020-05-16",0,147,0
"2020-05-16",10,619,0
"2020-05-16",20,3074,0
"2020-05-16",30,1209,2
"2020-05-16",40,1454,3
"2020-05-16",50,1966,15
"2020-05-16",60,1364,38
"2020-05-16",70,714,77
"2020-05-16",80,490,127
"2020-05-17",0,147,0
"2020-05-17",10,620,0
"2020-05-17",20,3079,0
"2020-05-17",30,1211,2
"2020-05-17",40,1457,3
"2020-05-17",50,1967,15
"2020-05-17",60,1364,38
"2020-05-17",70,715,77
"2020-05-17",80,490,127
"2020-05-18",0,147,0
"2020-05-18",10,621,0
"2020-05-18",20,3082,0
"2020-05-18",30,1215,2
"2020-05-18",40,1462,3
"2020-05-18",50,1968,15
"2020-05-18",60,1365,38
"2020-05-18",70,715,78
"2020-05-18",80,490,127
"2020-05-19",0,148,0
"2020-05-19",10,621,0
"2020-05-19",20,3087,0
"2020-05-19",30,1215,2
"2020-05-19",40,1462,3
"2020-05-19",50,1971,15
"2020-05-19",60,1368,38
"2020-05-19",70,716,78
